"L11" "L21" "A1" "L12" "L22" "A2" "L13" "L23" "A3" "C1" "C2" "C3" "Y" "weight_freq"
0 -0.506333542189239 0 1 -0.661133461412399 1 1 -2.74108305292427 1 0 0 0 0 0.60155783803494
0 -1.42056550469574 1 1 -0.62272328884956 1 1 -1.75878182718775 0 0 0 0 1 0.732446609173357
0 0.127992965684126 0 NA NA NA NA NA NA 0 1 NA NA NA
0 1.94585121773144 0 1 0.064990909623871 0 1 -1.31653065578918 1 0 0 0 1 1.44022472511472
0 0.800914339573062 0 0 0.527495776136119 0 1 2.25299154187548 0 0 0 0 0 2.0661198081604
0 1.16525338994626 NA NA NA NA NA NA NA 1 NA NA NA NA
0 0.358855723093152 0 0 1.37463433197234 1 1 2.75172646659913 1 0 0 0 0 3.54995208136316
0 -0.608557178316224 0 0 0.784913647343941 0 1 1.16895272521331 0 0 0 0 1 1.49706645402351
1 -0.202240855110284 1 NA NA NA NA NA NA 0 1 NA NA NA
0 -0.273248106811925 1 1 -0.590630286744043 1 1 -2.03857583782264 1 0 0 0 1 0.890138271254556
0 -0.468699779782087 0 1 0.418372723510499 1 1 -1.59157990038096 0 0 0 0 1 0.968559987910035
0 0.704167283929716 0 0 -1.30140899463211 0 0 -1.14757844478683 0 0 0 0 0 0.992611554593136
1 -1.19736350236541 1 1 -1.60895271666275 1 1 -0.223955431734921 1 0 0 0 1 0.711958518076864
1 0.866366132112773 0 1 0.808055950058868 0 1 0.870498537368548 1 0 0 0 1 1.76413965554596
1 0.864152486225893 1 1 -0.791155911267172 1 NA NA NA 0 0 1 NA NA
1 -1.19862235906875 1 0 -1.35922938088256 0 0 -0.866736118177892 0 0 0 0 0 0.927040355596743
0 0.639491997900534 NA NA NA NA NA NA NA 1 NA NA NA NA
0 2.43022665234451 0 0 0.491460111855942 1 1 0.0721327277075517 1 0 0 0 1 2.74216116121429
1 -0.557215481941608 0 NA NA NA NA NA NA 0 1 NA NA NA
1 0.844904241408072 1 1 -0.477415114294092 1 1 -1.24266586429638 0 0 0 0 1 1.39733369714742
0 -0.782201845619403 0 1 -0.738128745616787 1 0 1.11510885558388 0 0 0 0 0 1.34167155262891
1 1.1107114182028 1 1 0.689450774762854 1 1 0.51441667059998 0 0 0 0 0 2.71093489072442
1 0.249824719926562 0 1 1.4547945724582 1 1 -0.201008917458219 0 0 0 0 0 2.10510899581083
1 1.65191539162316 0 0 0.614035316444935 0 NA NA NA 0 0 1 NA NA
0 -1.45897072853692 1 1 -0.830813371776911 1 1 -1.40204815661221 1 0 0 0 1 0.700869993146684
0 -0.0512978861253612 NA NA NA NA NA NA NA 1 NA NA NA NA
0 -0.526925176125598 0 NA NA NA NA NA NA 0 1 NA NA NA
0 -0.197264869076299 0 1 0.119863027740648 0 1 0.132038881885841 1 0 0 0 1 0.938168197441368
0 -0.629578742686005 1 NA NA NA NA NA NA 0 1 NA NA NA
0 -0.833843580535001 0 NA NA NA NA NA NA 0 1 NA NA NA
0 0.57872237461645 0 1 -0.69805996208723 1 1 -1.39483200626037 0 0 0 0 0 0.830913664659209
1 -1.08758071407693 1 1 0.204073656087031 1 0 -0.851929305625451 1 0 0 0 1 1.8407048334639
0 1.48403093155628 1 0 0.591127877957971 1 1 0.530076866439688 1 0 0 0 0 3.14502647216858
0 -1.18620658531375 0 NA NA NA NA NA NA 0 1 NA NA NA
1 0.10107915139528 0 1 -0.709702275432939 0 1 0.205450004722592 0 0 0 0 1 0.830959697115176
1 0.532989286826481 1 0 -0.597382948169289 1 1 -2.02687509344325 1 0 0 0 0 1.37335318132896
0 0.586735339092625 1 NA NA NA NA NA NA 0 1 NA NA NA
0 -0.30174666386638 1 1 -2.71458758933161 1 1 -1.92991018635936 1 0 0 0 1 0.469661039336019
1 0.079501995328401 1 1 -1.26177095117389 1 1 -0.570502317598919 1 0 0 0 1 0.979221741938575
1 0.961264151809677 NA NA NA NA NA NA NA 1 NA NA NA NA
0 -1.45646591707643 1 1 -1.52271474488999 1 1 -2.03877871736304 1 0 0 0 1 0.529310564147046
0 -0.781739711532082 1 1 -1.6913974012503 1 1 -4.38507486753405 1 0 0 0 0 0.488284556828837
1 0.32040231431661 0 1 -0.675493373976685 0 0 -0.16342581276738 1 0 0 0 0 1.17315190755377
0 -0.444781978336992 1 0 -0.486641956754452 1 1 -1.64617595712004 1 0 0 0 0 1.0867682785612
0 1.370003993971 0 0 -0.949830387862008 1 0 -0.572340287747937 1 0 0 0 1 1.63054229722609
1 0.673253863354836 1 1 0.507856172259624 0 0 1.48113980908321 1 0 0 0 0 3.2672918676754
0 0.0721667524147558 0 1 -2.13285129822857 1 1 -2.26234469504161 1 0 0 0 1 0.446397307213454
0 -1.50775731753668 1 1 -1.7572181810839 1 1 -0.881883708988068 0 0 0 0 1 0.542140248797827
1 0.0261002253262418 1 1 -1.47413236631037 1 1 -1.58961195645282 1 0 0 0 1 0.823400244075699
1 -0.316415868196993 1 1 -2.10680814364692 1 1 -1.3847994361118 0 0 0 0 0 0.644734520413869
0 -0.102346513520598 1 1 -1.62908059687325 1 1 -2.67033968371619 0 0 0 0 1 0.633875649354779
1 -1.18155922705569 NA NA NA NA NA NA NA 1 NA NA NA NA
1 0.498658043829925 0 0 -0.0704450093009179 1 1 0.769739039798509 0 0 0 0 1 1.63499296318602
0 -1.03895644030703 0 0 -0.820330852606377 0 NA NA NA 0 0 1 NA NA
0 -0.22622198144241 1 1 -2.93387476630306 1 1 -3.35431803800861 0 0 0 0 1 0.408597858419008
1 0.381425829451352 1 1 -1.83360779677011 1 1 -1.08311889002784 1 0 0 0 1 0.835059418541979
1 -0.783515789013048 0 1 -0.723065006969227 0 1 -1.06955667425037 0 0 0 0 1 0.620391957670938
1 0.582991405680064 NA NA NA NA NA NA NA 1 NA NA NA NA
1 -1.31651040165169 0 1 -1.65502413113685 0 1 -1.20597592802486 1 0 0 0 0 0.416599252700976
0 -2.80977467896054 0 1 -0.355346626482568 1 0 -1.12570657884279 1 0 0 0 1 0.819823536450604
0 0.464967990785852 0 1 0.408072343910267 1 0 0.186135668694852 0 0 0 0 0 2.16234990328803
1 0.840539826961 0 0 -0.82357470815827 1 1 -0.165585827343292 1 0 0 0 1 1.19533776568514
0 -0.285845423591384 0 1 -0.611618726797906 1 1 -0.726732325612886 0 0 0 0 1 0.758113701287934
0 0.504126254591608 0 0 -0.0328403542550654 1 1 -0.0523707950812531 0 0 0 0 0 1.38345312791256
0 -1.15591652508367 1 0 -1.75825344377694 1 1 -1.00066630935518 0 0 0 0 0 0.639752708337585
1 -0.127148606825662 1 1 -1.7276279139074 1 1 -1.2854399554007 0 0 0 0 1 0.757659625285318
0 -1.94151837604062 1 0 -1.5225632700207 0 0 -0.670051474903397 0 0 0 0 0 0.728833478971543
0 1.18118089143852 0 1 1.33178516523902 0 0 1.38150280838434 1 0 0 0 0 3.49462893189237
1 1.85991086154316 1 1 0.456807434338876 1 0 0.238303009424779 1 0 0 0 0 4.39640851842307
0 1.07401226028199 NA NA NA NA NA NA NA 1 NA NA NA NA
1 -0.0273469664137418 0 1 0.174146761561952 0 1 0.994041879275073 1 0 0 0 0 1.17081176863011
1 -0.0333303422759193 1 0 0.0772531959135377 1 1 0.0879639309713227 1 0 0 0 0 1.9178992469625
0 -1.5160676231511 0 1 -0.898547769823913 1 1 -1.30227221360662 0 0 0 0 1 0.528280993707412
1 0.790385343888228 1 1 0.150997870889988 1 1 -1.71397148780027 1 0 0 0 0 1.640510203277
1 -0.210734180691776 1 1 -1.95093999743185 1 1 -2.16350245251752 0 0 0 0 0 0.647949176225709
1 -0.656742925361075 NA NA NA NA NA NA NA 1 NA NA NA NA
0 -1.41202579265831 1 NA NA NA NA NA NA 0 1 NA NA NA
0 -0.299762496646272 1 0 -0.454216744763095 0 1 -0.752402945021935 1 0 0 0 1 1.08083090477105
1 -0.849061135016708 NA NA NA NA NA NA NA 1 NA NA NA NA
0 -0.397030520327837 0 0 -0.322133239161256 1 0 -1.68496653785487 1 0 0 0 0 1.20047400242163
0 -1.2175999877636 0 1 -1.3750142166716 0 1 -1.50980922490975 1 0 0 0 0 0.415917749623654
1 1.6875894829457 1 0 -0.785919475311869 0 1 -0.0373725805780043 1 0 0 0 0 1.80125414919861
0 -0.0160025272079689 0 0 0.270519346998095 0 0 0.348865627001665 0 0 0 0 1 1.7675139082966
0 1.07494507727239 0 0 1.89430939091161 0 0 0.543085013883663 0 0 0 0 1 4.57700483595168
1 -2.60169967025765 1 1 -2.78798543005852 0 1 -0.581170382978243 1 0 0 0 1 0.329271398002915
0 -0.453197829994837 1 0 -1.11139758729461 1 1 -2.69682823498037 1 0 0 0 1 0.800553733961639
0 -0.675482291592071 NA NA NA NA NA NA NA 1 NA NA NA NA
0 -1.22292617936591 0 1 -1.16608353974579 1 1 0.286788797247724 0 0 0 0 1 0.599125643332035
0 1.54660915422409 0 1 0.8948768919325 1 1 -0.660409312282369 1 0 0 0 1 1.95270978178002
0 -1.41528191976949 0 0 -0.755237076863105 0 1 0.00996637960929447 1 0 0 0 1 0.642812209299533
0 0.318390260408025 0 1 -0.61705646036267 0 1 -1.06681623350561 1 0 0 0 0 0.75480927222104
1 0.846436285579692 1 1 0.554659393928158 0 0 0.0553146607239926 0 0 0 0 1 2.74782637565845
0 0.178190188418023 0 1 0.935402931431982 1 0 0.583304927838388 0 0 0 0 1 2.6877614080919
1 -0.875255477495516 1 1 -0.113488232090557 1 1 -1.67075859743884 1 0 0 0 1 1.0774716585849
1 0.941165806724167 NA NA NA NA NA NA NA 1 NA NA NA NA
1 0.170588081840838 0 1 -0.621067747002157 1 1 -0.47831052611623 1 0 0 0 1 0.935414922264364
0 -1.06349790638204 1 0 -1.49623084969933 1 0 -0.832405735125206 1 0 0 0 1 1.02344737930318
0 -1.38804904760206 NA NA NA NA NA NA NA 1 NA NA NA NA
1 2.08671743449315 0 NA NA NA NA NA NA 0 1 NA NA NA
1 -0.678503145418437 1 0 -1.37887772893412 1 NA NA NA 0 0 1 NA NA
1 -1.85557165391804 1 1 -2.0511306353595 1 1 -2.80319792489294 1 0 0 0 1 0.444532767339305
0 0.533259362753652 1 NA NA NA NA NA NA 0 1 NA NA NA
1 0.310230256060895 1 1 0.93731701875719 1 1 -0.630428910870368 0 0 0 0 1 2.1991158717419
1 -1.3538343357226 0 1 -3.38508351990277 1 1 -2.39839925806418 0 0 0 0 0 0.259223118661573
1 -1.94295641358195 1 NA NA NA NA NA NA 0 1 NA NA NA
0 -0.116302517158606 0 0 -0.0199383815257686 1 0 -0.233813746893545 1 0 0 0 0 1.76251245497216
0 1.13939629170942 1 1 -0.989911457138859 1 1 -1.03976736836054 0 0 0 0 0 1.18826937343107
0 0.636124035182149 0 0 0.703487912411712 1 0 -0.268370789191927 1 0 0 0 1 2.73880864670551
0 -0.492937424161977 0 0 -2.2135563958911 0 0 -0.709759693088566 0 0 0 0 0 0.584663262849523
1 -0.834188231584378 1 1 -0.16212525468027 0 0 -1.45968781589828 0 0 0 0 1 1.21975679998348
0 0.271066756750545 NA NA NA NA NA NA NA 1 NA NA NA NA
1 0.157353347216158 1 1 -2.82405820648895 1 1 -0.49545306720164 0 0 0 0 0 0.633271771592257
1 0.629711746692728 1 1 -1.14870795244566 1 1 -0.658231132925127 0 0 0 0 0 1.13409194372935
0 -0.395797950288896 NA NA NA NA NA NA NA 1 NA NA NA NA
0 0.899354053203099 1 0 -0.701890138162614 0 1 -1.57950172843058 1 0 0 0 1 1.26712205944072
0 -0.830811527336248 1 1 -1.47469275894574 1 0 -2.39667663306216 1 0 0 0 1 0.778107256366849
0 -0.330544700119963 0 0 0.167932624997798 0 1 0.664123169062198 1 0 0 0 0 1.17208393912849
0 0.740814523725905 1 1 -1.1884936596255 1 1 -0.861087865230137 0 0 0 0 1 1.02877472180997
1 0.989971608627113 0 1 0.209136258553084 1 1 -1.16401417386458 1 0 0 0 0 1.38402945454972
1 -1.93850470145338 0 NA NA NA NA NA NA 0 1 NA NA NA
0 0.107190407016153 1 1 1.18758486021668 0 0 1.37202049963395 0 0 0 0 0 3.39736114765808
1 0.60877901173463 1 1 0.0838413871075116 0 0 -0.465152916412262 1 0 0 0 1 2.0472926153372
1 -1.45082431349063 0 1 0.789350835421443 0 NA NA NA 0 0 1 NA NA
0 0.480625599875217 1 1 0.193472833467324 1 1 -0.250729836107659 0 0 0 0 0 1.63560291279683
0 -0.828174270396797 1 1 -0.917328262023759 1 0 -1.34099176152077 1 0 0 0 1 1.08143187144525
1 1.02025301216443 1 0 -2.44640835016718 1 0 -2.45823057948639 1 0 0 0 1 1.02861025065055
0 0.538482032102641 1 1 -1.45541753587932 0 1 -1.34065004309607 1 0 0 0 1 0.80379614984146
0 0.769052294995609 1 0 -0.434436476240419 0 1 -1.29821867331889 1 0 0 0 1 1.36172155622078
1 0.120719329287034 1 1 0.0726301204972994 1 1 -0.194372323743676 0 0 0 0 1 1.61172956444647
0 0.863648434157753 1 1 -0.390689356099294 1 0 0.436695444467892 0 0 0 0 1 2.48311083371037
1 1.38051452831454 0 0 1.03390588541211 1 1 0.26121557857515 1 0 0 0 0 2.90189383844606
0 1.96624801545563 0 0 -0.0806873441109238 0 1 0.772385554138378 1 0 0 0 1 1.93158731840107
0 -0.028395054749065 1 0 -0.78832724472509 1 1 -1.54529864729687 1 0 0 0 1 1.06563597022793
0 -2.2490510903324 0 NA NA NA NA NA NA 0 1 NA NA NA
0 0.0315260045939917 0 1 -0.343622715868615 1 1 -1.00792351452792 1 0 0 0 1 0.860043541680283
1 0.205561208449975 1 0 -0.484387700791862 0 0 -1.67283447549514 1 0 0 0 0 1.54126307326816
0 -0.155345347144399 1 1 -1.24842069962546 1 1 -1.23531740728164 1 0 0 0 1 0.791776834746796
0 0.568288620777075 1 0 0.158489533648041 1 0 0.0584820257930329 0 0 0 0 1 3.0352391466279
0 1.01067796451426 0 0 0.424284089745875 0 NA NA NA 0 0 1 NA NA
1 -0.517982430167822 1 1 -1.00604056173704 1 1 0.11263375990618 0 0 0 0 0 1.01724853701018
1 -0.29409532715611 0 1 -2.2958347500242 1 1 -3.3205668117896 1 0 0 0 0 0.405558097221459
1 0.397842208800339 NA NA NA NA NA NA NA 1 NA NA NA NA
0 -0.550223741489138 1 1 -2.26475595564282 1 1 -1.11530390498881 0 0 0 0 1 0.542399339049555
1 0.0912673834882354 1 1 -2.26008436587619 1 1 -2.04006799096287 1 0 0 0 1 0.638047863060489
1 -1.9617075988853 1 1 -2.17473690028789 0 NA NA NA 0 0 1 NA NA
0 -1.11989972139762 1 0 -1.22074822844442 1 0 -2.52490658896391 0 0 0 0 0 0.893848982226352
0 -1.32775547560413 0 NA NA NA NA NA NA 0 1 NA NA NA
0 -0.853623696727242 1 1 0.164450801936701 1 1 -3.74686279042336 1 0 0 0 1 0.917617425969473
1 -0.693304527930666 NA NA NA NA NA NA NA 1 NA NA NA NA
1 0.38230514254637 0 1 1.00322291203166 1 1 1.40317491102017 1 0 0 0 1 2.22237532496592
1 0.982113002522641 1 1 -0.735253786373213 1 1 0.47436013452163 1 0 0 0 0 1.59332755509897
0 -0.727383529087535 1 1 -1.17153193773255 0 NA NA NA 0 0 1 NA NA
1 -0.996838982378005 0 1 0.38674939323725 0 1 0.528401539302763 0 0 0 0 1 0.999563631805994
0 -1.04168885898951 1 1 -1.01963724555665 0 0 -1.05953961712531 0 0 0 0 0 0.848193351020562
1 -0.414588726363674 1 1 -2.58753907886521 1 0 -2.01877759752906 1 0 0 0 1 0.69854457116159
0 -0.239029068152564 1 0 -1.46607005316841 0 NA NA NA 0 0 1 NA NA
0 0.483617533838269 1 0 0.749400826751869 1 NA NA NA 0 0 1 NA NA
0 -0.32132484216839 1 1 -1.27139967876166 1 1 -1.86242052712371 1 0 0 0 1 0.717735284797308
0 -2.07848926886002 0 1 -0.705800501652889 1 1 -0.679010761927579 1 0 0 0 0 0.559600191737102
0 -0.0914342755501383 0 0 -0.0314944420944241 1 NA NA NA 0 0 1 NA NA
1 1.18718681065156 1 0 -0.602764202023884 1 0 -1.82681965638422 0 0 0 0 0 2.13795314610974
1 1.19160126851033 1 1 -0.454985758151219 1 1 -0.594296542968448 1 0 0 0 1 1.62444724251633
0 -0.78896321811123 1 1 -0.50276106119752 1 1 -0.356311459287621 1 0 0 0 1 0.977868689449649
1 -1.54777654363757 1 1 -1.26430944292654 0 0 -0.777835434032541 0 0 0 0 0 0.80722029764437
1 2.45806049186527 0 NA NA NA NA NA NA 0 1 NA NA NA
1 -0.162421942479419 1 1 -0.981030755674646 1 1 -1.6545260065733 1 0 0 0 1 0.91993847225444
0 -0.0974512501056172 1 1 -1.47193366707949 1 1 -0.151166018479758 1 0 0 0 1 0.837087092165984
0 0.420574188698147 0 1 0.376190195928517 1 0 -0.869877183841401 0 0 0 0 1 1.77128814324536
1 -1.61403945661912 1 1 -0.801685175065379 0 0 -1.18049447737863 0 0 0 0 0 0.882777053633963
1 -0.728219111191288 0 1 1.71785740013135 0 0 1.70052148254632 0 0 0 0 1 3.12402752167779
0 -1.54044240529001 1 1 -1.73390421574874 1 1 -0.452069926796489 0 0 0 0 0 0.568460737002833
0 -0.693094614010595 1 1 -1.17290087891356 1 1 -0.605794802355701 1 0 0 0 1 0.774633451909985
0 0.118849433004561 1 1 0.44191792690023 0 NA NA NA 0 0 1 NA NA
0 -1.36470945798691 0 1 0.598931397511008 1 1 1.1943516834036 1 0 0 0 0 1.24825503351675
1 0.589982679367313 0 1 -0.563690516921319 0 0 -1.49248615237416 1 0 0 0 1 1.09763472049551
1 0.289344028817336 0 1 0.609242469353081 1 0 0.742391227618046 1 0 0 0 0 2.70927776654433
1 -0.904215025620639 1 1 -1.71726502685266 1 0 0.155761321058613 0 0 0 0 0 1.15205580237335
0 0.226324942381064 1 1 -1.34901579905171 0 0 -0.819898325389123 1 0 0 0 1 1.05666096755088
0 0.748081162493843 0 0 0.997401483147179 0 0 1.08442274551899 1 0 0 0 1 3.14279839755822
1 1.06109525326174 NA NA NA NA NA NA NA 1 NA NA NA NA
0 -0.212848278646528 0 0 0.282906738818957 1 1 0.835035377719847 0 0 0 0 1 1.50889613294849
0 -0.0936367939110456 0 1 -0.627321893677474 1 0 -1.87247137345951 1 0 0 0 1 0.963560746009578
0 -0.0867141349819251 1 1 1.2516208884358 1 1 0.821516637566867 1 0 0 0 1 2.49126175923924
1 1.44146175605504 1 1 0.68601888707523 1 0 -2.06593762263131 1 0 0 0 0 3.03078815361991
0 1.12507189227799 0 1 0.188133520486964 1 1 1.47097030563357 0 0 0 0 0 1.78504675037608
0 0.834401567757039 0 1 1.11994971488898 1 1 -0.711364901850956 1 0 0 0 1 1.79024233030354
1 -0.287340799840693 1 1 -2.05818478381402 1 0 -2.04528335739372 0 0 0 0 0 0.835230400544559
0 0.373241434166406 NA NA NA NA NA NA NA 1 NA NA NA NA
1 0.403290331220696 1 1 0.905003064290871 1 NA NA NA 0 0 1 NA NA
0 -1.04167329428932 1 1 -1.20967595874901 0 1 -1.06773282261049 0 0 0 0 1 0.60093060343955
1 -1.72830451532074 NA NA NA NA NA NA NA 1 NA NA NA NA
0 0.641830027651616 0 1 0.0989930136358958 0 NA NA NA 0 0 1 NA NA
1 -1.52931053118042 1 1 -3.76268166589643 1 1 -0.555046771603736 1 0 0 0 1 0.346706215720282
1 0.00168368848420991 1 1 -1.57937070132399 1 1 -3.27644600161843 1 0 0 0 1 0.703100791539083
0 0.250247821348331 0 1 0.347859599709136 0 1 -0.131458615787347 0 0 0 0 0 1.09511849637409
1 0.563867390305883 0 NA NA NA NA NA NA 0 1 NA NA NA
0 0.189426237514811 0 0 -0.498689006243428 0 0 -1.08550930758525 0 0 0 0 1 1.15203883124011
0 -0.732853806297125 NA NA NA NA NA NA NA 1 NA NA NA NA
1 0.986365859895462 1 0 -1.17163635953184 1 1 0.85746671700722 0 0 0 0 0 1.62753734645833
0 1.73863376690625 0 0 -0.147139357880676 0 0 -1.94091527659073 0 0 0 0 1 1.79237678537623
1 0.881178808925443 1 1 -1.0367272389541 1 1 -2.02196148463513 1 0 0 0 0 1.10165524746715
0 -1.94365090132398 0 1 0.397236616671592 1 1 -1.69979025424226 1 0 0 0 0 0.766657771586645
1 1.39957618540294 1 1 0.940098182612373 0 1 0.899570475596107 1 0 0 0 0 2.78662732578885
1 -0.056055946186268 0 1 0.365637184224566 1 1 -1.3833099308483 1 0 0 0 1 1.15678113605625
0 0.52491427931929 0 NA NA NA NA NA NA 0 1 NA NA NA
0 0.62203323587106 0 NA NA NA NA NA NA 0 1 NA NA NA
1 -0.0966860732067051 1 0 0.0112339002897691 1 1 -0.646908609513595 0 0 0 0 1 1.71055369663709
0 -0.0752631976487263 1 0 -0.328002320952814 1 1 0.192213718900235 0 0 0 0 0 1.48499554130603
1 1.0191570693309 0 0 -0.739522390147368 1 1 -0.732757441445156 1 0 0 0 1 1.21455277759683
1 0.711601922486244 0 1 -0.675261261038621 0 0 -2.47833608448566 1 0 0 0 1 0.987348220778931
0 0.990262246044231 0 0 0.545184054941261 0 NA NA NA 0 0 1 NA NA
0 2.38292669523033 0 0 1.39709340911171 1 1 0.912141802232488 0 0 0 0 0 4.31811322593184
1 0.664415863694087 0 0 -0.189150486813934 0 1 1.76557307623186 1 0 0 0 1 1.53504130074165
0 0.207381157385307 1 1 -1.39280066509388 1 1 -2.51122647752199 1 0 0 0 0 0.738427188947876
1 -2.21063311057562 NA NA NA NA NA NA NA 1 NA NA NA NA
0 2.69171400324612 1 1 1.27109248106416 0 NA NA NA 0 0 1 NA NA
0 -0.482676821796308 1 1 -1.03661012003525 1 0 -1.9508715473798 1 0 0 0 0 1.01640074587025
1 2.37473471509539 0 0 1.53652824072898 1 0 -1.11436870269127 0 0 0 0 0 5.43540710970388
1 0.374643568004988 1 1 -2.05857002924767 1 0 0.109511585720223 0 0 0 0 0 1.32849221793409
